@HD	VN:1.6
@SQ	SN:Contig005504_C_parapsilosis_CDC317	LN:898305	M5:e984704923a1a20d09ff8f42fc5d4404	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig005569_C_parapsilosis_CDC317	LN:2235583	M5:f4efb2243aa065c7c3dcc7261b5b9212	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig005806_C_parapsilosis_CDC317	LN:1039767	M5:d21cf10f877289c51c2d58a1cdcd4277	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig005807_C_parapsilosis_CDC317	LN:2091826	M5:7a239b7fb56c6342271a3e8d71739bfd	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig005809_C_parapsilosis_CDC317	LN:3023470	M5:671f162f0793223cb1a51815caa73b21	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig006110_C_parapsilosis_CDC317	LN:957321	M5:13dcfd81290ee2d847806309da48b8ba	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig006139_C_parapsilosis_CDC317	LN:962442	M5:51048d416742f3cc1a9a881d93cf7318	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:Contig006372_C_parapsilosis_CDC317	LN:1789679	M5:b4e2b46d47e6e2d2a68d56e66d1caef8	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
@SQ	SN:mito_C_parapsilosis_CDC317	LN:31781	M5:154da44485e3d21c2a32288e05f71f67	UR:file:/Users/liaoc/Documents/Fungal_genomic_analysis/sequences/CDC317/C_parapsilosis_CDC317_current_chromosomes.fasta
CONTIG	START	END	GC_CONTENT
Contig005504_C_parapsilosis_CDC317	152055	152615	0.418895
Contig005504_C_parapsilosis_CDC317	152929	154884	0.395706
Contig005504_C_parapsilosis_CDC317	157574	161314	0.442662
Contig005504_C_parapsilosis_CDC317	161461	164217	0.402612
Contig005504_C_parapsilosis_CDC317	165489	166847	0.386313
Contig005504_C_parapsilosis_CDC317	169832	173020	0.384133
Contig005504_C_parapsilosis_CDC317	173312	174676	0.383150
Contig005504_C_parapsilosis_CDC317	176737	179613	0.386861
Contig005504_C_parapsilosis_CDC317	179812	180963	0.401910
Contig005504_C_parapsilosis_CDC317	181410	183161	0.387557
Contig005504_C_parapsilosis_CDC317	184246	185442	0.413534
Contig005504_C_parapsilosis_CDC317	189058	193317	0.399531
Contig005504_C_parapsilosis_CDC317	196653	198488	0.410131
Contig005504_C_parapsilosis_CDC317	200769	205274	0.390368
Contig005504_C_parapsilosis_CDC317	205401	207224	0.407895
Contig005504_C_parapsilosis_CDC317	207995	208909	0.390164
Contig005504_C_parapsilosis_CDC317	216419	217344	0.414687
Contig005504_C_parapsilosis_CDC317	217698	218021	0.398148
Contig005504_C_parapsilosis_CDC317	218424	219374	0.407992
Contig005504_C_parapsilosis_CDC317	219538	221481	0.401235
Contig005504_C_parapsilosis_CDC317	221525	226156	0.405872
Contig005504_C_parapsilosis_CDC317	226474	228570	0.398188
Contig005504_C_parapsilosis_CDC317	229325	230860	0.417318
Contig005504_C_parapsilosis_CDC317	231054	233000	0.401644
Contig005504_C_parapsilosis_CDC317	233170	233676	0.398422
Contig005504_C_parapsilosis_CDC317	233760	235340	0.373814
Contig005504_C_parapsilosis_CDC317	238375	240897	0.403488
Contig005504_C_parapsilosis_CDC317	241577	242188	0.421569
Contig005504_C_parapsilosis_CDC317	242452	243579	0.416667
Contig005504_C_parapsilosis_CDC317	244155	245126	0.376543
Contig005504_C_parapsilosis_CDC317	248047	250140	0.411652
Contig005504_C_parapsilosis_CDC317	250875	253031	0.409365
Contig005504_C_parapsilosis_CDC317	256345	257832	0.364247
Contig005504_C_parapsilosis_CDC317	259784	261757	0.357143
Contig005504_C_parapsilosis_CDC317	262852	264756	0.395801
Contig005504_C_parapsilosis_CDC317	266331	268499	0.424159
Contig005504_C_parapsilosis_CDC317	270862	272333	0.423234
Contig005504_C_parapsilosis_CDC317	272798	273676	0.391354
Contig005504_C_parapsilosis_CDC317	275023	276627	0.385670
Contig005504_C_parapsilosis_CDC317	276699	279827	0.396293
Contig005504_C_parapsilosis_CDC317	280110	282641	0.378357
Contig005504_C_parapsilosis_CDC317	283032	284363	0.370871
Contig005504_C_parapsilosis_CDC317	285346	288765	0.463743
Contig005504_C_parapsilosis_CDC317	289136	290719	0.381313
Contig005504_C_parapsilosis_CDC317	291012	292925	0.400731
Contig005504_C_parapsilosis_CDC317	293092	293499	0.355392
Contig005504_C_parapsilosis_CDC317	293735	294442	0.368644
Contig005504_C_parapsilosis_CDC317	295503	297647	0.373427
Contig005504_C_parapsilosis_CDC317	297864	298718	0.380117
Contig005504_C_parapsilosis_CDC317	299003	299806	0.370647
Contig005504_C_parapsilosis_CDC317	300598	301485	0.376126
Contig005504_C_parapsilosis_CDC317	303857	307372	0.414391
Contig005504_C_parapsilosis_CDC317	307631	308707	0.403900
Contig005504_C_parapsilosis_CDC317	310158	311048	0.414141
Contig005504_C_parapsilosis_CDC317	311086	312477	0.383621
Contig005504_C_parapsilosis_CDC317	312576	313466	0.398429
Contig005504_C_parapsilosis_CDC317	313471	314463	0.393756
Contig005504_C_parapsilosis_CDC317	314757	315440	0.381579
Contig005504_C_parapsilosis_CDC317	315716	318601	0.389466
Contig005504_C_parapsilosis_CDC317	318680	320050	0.373450
Contig005504_C_parapsilosis_CDC317	320293	321057	0.414379
Contig005504_C_parapsilosis_CDC317	321331	321918	0.387755
Contig005504_C_parapsilosis_CDC317	322149	323471	0.402116
Contig005504_C_parapsilosis_CDC317	323717	325030	0.428463
Contig005504_C_parapsilosis_CDC317	326251	328065	0.370248
Contig005504_C_parapsilosis_CDC317	328315	331107	0.384175
Contig005504_C_parapsilosis_CDC317	331158	332159	0.377246
Contig005504_C_parapsilosis_CDC317	332783	333436	0.383792
Contig005504_C_parapsilosis_CDC317	333544	335520	0.402630
Contig005504_C_parapsilosis_CDC317	335826	336451	0.392971
Contig005504_C_parapsilosis_CDC317	336730	338094	0.388278
Contig005504_C_parapsilosis_CDC317	340945	342333	0.389489
Contig005504_C_parapsilosis_CDC317	342443	344668	0.409254
Contig005504_C_parapsilosis_CDC317	345117	345434	0.405660
Contig005504_C_parapsilosis_CDC317	345960	347663	0.449531
Contig005504_C_parapsilosis_CDC317	347772	349349	0.390368
Contig005504_C_parapsilosis_CDC317	351740	352483	0.443548
Contig005504_C_parapsilosis_CDC317	353481	354725	0.352610
Contig005504_C_parapsilosis_CDC317	355224	356962	0.389304
Contig005504_C_parapsilosis_CDC317	357130	357675	0.382784
Contig005504_C_parapsilosis_CDC317	357766	359199	0.366806
Contig005504_C_parapsilosis_CDC317	359454	361193	0.372989
Contig005504_C_parapsilosis_CDC317	362346	363761	0.390537
Contig005504_C_parapsilosis_CDC317	364674	365939	0.353870
Contig005504_C_parapsilosis_CDC317	365966	366925	0.375000
Contig005504_C_parapsilosis_CDC317	367105	368853	0.421384
Contig005504_C_parapsilosis_CDC317	369102	370151	0.382857
Contig005504_C_parapsilosis_CDC317	370496	371527	0.352713
Contig005504_C_parapsilosis_CDC317	373150	375489	0.372650
Contig005504_C_parapsilosis_CDC317	376831	378957	0.376587
Contig005504_C_parapsilosis_CDC317	379190	382504	0.393665
Contig005504_C_parapsilosis_CDC317	382571	385837	0.382920
Contig005504_C_parapsilosis_CDC317	386076	387605	0.408497
Contig005504_C_parapsilosis_CDC317	388842	392936	0.395116
Contig005504_C_parapsilosis_CDC317	393305	396055	0.415485
Contig005504_C_parapsilosis_CDC317	396596	396955	0.413889
Contig005504_C_parapsilosis_CDC317	397032	398654	0.380776
Contig005504_C_parapsilosis_CDC317	398798	401341	0.437893
Contig005504_C_parapsilosis_CDC317	401715	402548	0.384892
Contig005504_C_parapsilosis_CDC317	402563	404056	0.400937
Contig005504_C_parapsilosis_CDC317	404227	405198	0.373457
Contig005504_C_parapsilosis_CDC317	405218	406264	0.391595
Contig005504_C_parapsilosis_CDC317	406497	407192	0.390805
Contig005504_C_parapsilosis_CDC317	407293	407964	0.367560
Contig005504_C_parapsilosis_CDC317	408088	408570	0.391304
Contig005504_C_parapsilosis_CDC317	408671	409549	0.386803
Contig005504_C_parapsilosis_CDC317	410572	411657	0.375691
Contig005504_C_parapsilosis_CDC317	411702	413561	0.415054
Contig005504_C_parapsilosis_CDC317	414785	416623	0.411093
Contig005504_C_parapsilosis_CDC317	417991	419817	0.421456
Contig005504_C_parapsilosis_CDC317	420843	422576	0.392734
Contig005504_C_parapsilosis_CDC317	422731	423846	0.389785
Contig005504_C_parapsilosis_CDC317	425204	426511	0.428135
Contig005504_C_parapsilosis_CDC317	426692	427777	0.385820
Contig005504_C_parapsilosis_CDC317	428352	429248	0.390190
Contig005504_C_parapsilosis_CDC317	429342	430595	0.382775
Contig005504_C_parapsilosis_CDC317	431244	433739	0.414263
Contig005504_C_parapsilosis_CDC317	433820	434579	0.431579
Contig005504_C_parapsilosis_CDC317	435630	436736	0.417344
Contig005504_C_parapsilosis_CDC317	436879	437499	0.450886
Contig005504_C_parapsilosis_CDC317	437755	438948	0.427136
Contig005504_C_parapsilosis_CDC317	439882	448398	0.396501
Contig005504_C_parapsilosis_CDC317	448472	449299	0.427536
Contig005504_C_parapsilosis_CDC317	450093	452027	0.395866
Contig005504_C_parapsilosis_CDC317	453254	455350	0.405341
Contig005504_C_parapsilosis_CDC317	455697	456530	0.362110
Contig005504_C_parapsilosis_CDC317	459780	461351	0.423664
Contig005504_C_parapsilosis_CDC317	462914	463336	0.413712
Contig005504_C_parapsilosis_CDC317	463495	464688	0.427136
Contig005504_C_parapsilosis_CDC317	464944	465564	0.450886
Contig005504_C_parapsilosis_CDC317	465707	466813	0.417344
Contig005504_C_parapsilosis_CDC317	467580	469070	0.419852
Contig005504_C_parapsilosis_CDC317	469802	471166	0.414652
Contig005504_C_parapsilosis_CDC317	471453	473345	0.370312
Contig005504_C_parapsilosis_CDC317	473503	474492	0.388889
Contig005504_C_parapsilosis_CDC317	474551	475327	0.384813
Contig005504_C_parapsilosis_CDC317	475877	476809	0.445874
Contig005504_C_parapsilosis_CDC317	476870	480541	0.381536
Contig005504_C_parapsilosis_CDC317	482432	483091	0.328788
Contig005504_C_parapsilosis_CDC317	487173	488297	0.384000
Contig005504_C_parapsilosis_CDC317	490109	491845	0.379965
Contig005504_C_parapsilosis_CDC317	492381	494055	0.382090
Contig005504_C_parapsilosis_CDC317	495072	496700	0.366483
Contig005504_C_parapsilosis_CDC317	497845	499026	0.423012
Contig005504_C_parapsilosis_CDC317	499130	499768	0.422535
Contig005504_C_parapsilosis_CDC317	499952	502498	0.375344
Contig005504_C_parapsilosis_CDC317	503737	504495	0.391304
Contig005504_C_parapsilosis_CDC317	504547	506079	0.390085
Contig005504_C_parapsilosis_CDC317	506642	507556	0.386885
Contig005504_C_parapsilosis_CDC317	507847	508071	0.346667
Contig005504_C_parapsilosis_CDC317	508123	509763	0.390615
Contig005504_C_parapsilosis_CDC317	510157	511584	0.382353
Contig005504_C_parapsilosis_CDC317	511707	512510	0.390547
Contig005504_C_parapsilosis_CDC317	512948	513673	0.376033
Contig005504_C_parapsilosis_CDC317	515140	516357	0.382594
Contig005504_C_parapsilosis_CDC317	516659	517210	0.385870
Contig005504_C_parapsilosis_CDC317	517401	518429	0.367347
Contig005504_C_parapsilosis_CDC317	518451	519977	0.370007
Contig005504_C_parapsilosis_CDC317	520126	521385	0.395238
Contig005504_C_parapsilosis_CDC317	521493	526400	0.376324
Contig005504_C_parapsilosis_CDC317	526757	527932	0.378401
Contig005504_C_parapsilosis_CDC317	529294	532443	0.434921
Contig005504_C_parapsilosis_CDC317	532674	534662	0.409754
Contig005504_C_parapsilosis_CDC317	535508	536611	0.420290
Contig005504_C_parapsilosis_CDC317	536888	539083	0.403461
Contig005504_C_parapsilosis_CDC317	539156	541678	0.435989
Contig005504_C_parapsilosis_CDC317	541818	542774	0.415883
Contig005504_C_parapsilosis_CDC317	542834	543490	0.398782
Contig005504_C_parapsilosis_CDC317	543626	544856	0.415110
Contig005504_C_parapsilosis_CDC317	544911	545414	0.410714
Contig005504_C_parapsilosis_CDC317	546016	546660	0.356589
Contig005504_C_parapsilosis_CDC317	546675	548396	0.357143
Contig005504_C_parapsilosis_CDC317	549244	550539	0.407407
Contig005504_C_parapsilosis_CDC317	551318	552403	0.405157
Contig005504_C_parapsilosis_CDC317	552754	553395	0.378505
Contig005504_C_parapsilosis_CDC317	553435	554661	0.411573
Contig005504_C_parapsilosis_CDC317	554933	556027	0.375342
Contig005504_C_parapsilosis_CDC317	556747	557967	0.424242
Contig005504_C_parapsilosis_CDC317	558525	559754	0.360163
Contig005504_C_parapsilosis_CDC317	562562	563713	0.407118
Contig005504_C_parapsilosis_CDC317	564216	566129	0.397597
Contig005504_C_parapsilosis_CDC317	566257	569388	0.382503
Contig005504_C_parapsilosis_CDC317	574560	575801	0.414654
Contig005504_C_parapsilosis_CDC317	578357	578473	0.350427
Contig005504_C_parapsilosis_CDC317	581259	585368	0.418005
Contig005504_C_parapsilosis_CDC317	586565	587593	0.356657
Contig005504_C_parapsilosis_CDC317	588155	590905	0.401309
Contig005504_C_parapsilosis_CDC317	593080	594909	0.421858
Contig005504_C_parapsilosis_CDC317	595504	596385	0.429705
Contig005504_C_parapsilosis_CDC317	598169	599878	0.426901
Contig005504_C_parapsilosis_CDC317	600196	601584	0.442765
Contig005504_C_parapsilosis_CDC317	601897	602442	0.393773
Contig005504_C_parapsilosis_CDC317	602518	610302	0.384714
Contig005504_C_parapsilosis_CDC317	611439	612275	0.394265
Contig005504_C_parapsilosis_CDC317	612535	615246	0.391962
Contig005504_C_parapsilosis_CDC317	617562	618440	0.364050
Contig005504_C_parapsilosis_CDC317	620917	623382	0.435929
Contig005504_C_parapsilosis_CDC317	625163	626629	0.428085
Contig005504_C_parapsilosis_CDC317	626934	627782	0.400471
Contig005504_C_parapsilosis_CDC317	628077	631469	0.417035
Contig005504_C_parapsilosis_CDC317	631671	632966	0.381173
Contig005504_C_parapsilosis_CDC317	633570	634151	0.369416
Contig005504_C_parapsilosis_CDC317	634171	635646	0.371951
Contig005504_C_parapsilosis_CDC317	635977	636348	0.325269
Contig005504_C_parapsilosis_CDC317	638315	640279	0.402545
Contig005504_C_parapsilosis_CDC317	640414	641113	0.415714
Contig005504_C_parapsilosis_CDC317	641443	642157	0.369231
Contig005504_C_parapsilosis_CDC317	642238	653649	0.396337
Contig005504_C_parapsilosis_CDC317	655709	656941	0.382806
Contig005504_C_parapsilosis_CDC317	657149	657946	0.377193
Contig005504_C_parapsilosis_CDC317	658296	659537	0.351852
Contig005504_C_parapsilosis_CDC317	661382	663646	0.411038
Contig005504_C_parapsilosis_CDC317	663745	666159	0.392961
Contig005504_C_parapsilosis_CDC317	666748	668415	0.384892
Contig005504_C_parapsilosis_CDC317	668495	668878	0.447917
Contig005504_C_parapsilosis_CDC317	669002	669676	0.377778
Contig005504_C_parapsilosis_CDC317	669832	673950	0.364409
Contig005504_C_parapsilosis_CDC317	674661	675143	0.385093
Contig005504_C_parapsilosis_CDC317	675308	676864	0.377649
Contig005504_C_parapsilosis_CDC317	677099	677994	0.383929
Contig005504_C_parapsilosis_CDC317	678328	678940	0.347471
Contig005504_C_parapsilosis_CDC317	679286	681017	0.392610
Contig005504_C_parapsilosis_CDC317	681188	681713	0.384030
Contig005504_C_parapsilosis_CDC317	681835	683388	0.384170
Contig005504_C_parapsilosis_CDC317	683431	684279	0.375736
Contig005504_C_parapsilosis_CDC317	684931	687030	0.385714
Contig005504_C_parapsilosis_CDC317	687092	688528	0.421712
Contig005504_C_parapsilosis_CDC317	688777	690522	0.395762
Contig005504_C_parapsilosis_CDC317	691368	693320	0.388121
Contig005504_C_parapsilosis_CDC317	693462	694715	0.402711
Contig005504_C_parapsilosis_CDC317	695544	696398	0.366082
Contig005504_C_parapsilosis_CDC317	696462	699662	0.428928
Contig005504_C_parapsilosis_CDC317	700065	703328	0.362439
Contig005504_C_parapsilosis_CDC317	703407	704207	0.393258
Contig005504_C_parapsilosis_CDC317	706089	709208	0.430769
Contig005504_C_parapsilosis_CDC317	709521	711326	0.392027
Contig005504_C_parapsilosis_CDC317	713169	713639	0.464968
Contig005504_C_parapsilosis_CDC317	713738	714475	0.406504
Contig005504_C_parapsilosis_CDC317	715177	715941	0.428758
Contig005504_C_parapsilosis_CDC317	716749	717852	0.432971
Contig005504_C_parapsilosis_CDC317	719059	720090	0.411822
Contig005504_C_parapsilosis_CDC317	720982	723447	0.384834
Contig005504_C_parapsilosis_CDC317	725666	727426	0.397501
Contig005504_C_parapsilosis_CDC317	727743	729038	0.421296
Contig005504_C_parapsilosis_CDC317	736082	737623	0.431907
Contig005504_C_parapsilosis_CDC317	740621	742852	0.426075
Contig005504_C_parapsilosis_CDC317	743077	744000	0.390693
Contig005504_C_parapsilosis_CDC317	744158	746272	0.408511
Contig005504_C_parapsilosis_CDC317	746714	747907	0.404523
Contig005504_C_parapsilosis_CDC317	748632	749123	0.386179
Contig005504_C_parapsilosis_CDC317	749645	751147	0.391218
Contig005504_C_parapsilosis_CDC317	751258	754784	0.406294
Contig005504_C_parapsilosis_CDC317	754989	756011	0.398827
Contig005504_C_parapsilosis_CDC317	756029	757303	0.387451
Contig005504_C_parapsilosis_CDC317	757789	759264	0.382114
Contig005504_C_parapsilosis_CDC317	759532	760485	0.380503
Contig005504_C_parapsilosis_CDC317	760486	762387	0.421136
Contig005504_C_parapsilosis_CDC317	762514	763641	0.368794
Contig005504_C_parapsilosis_CDC317	764053	765120	0.407303
Contig005504_C_parapsilosis_CDC317	766218	768941	0.389501
Contig005504_C_parapsilosis_CDC317	770239	771657	0.391825
Contig005504_C_parapsilosis_CDC317	771741	772079	0.392330
Contig005504_C_parapsilosis_CDC317	772749	774071	0.410431
Contig005504_C_parapsilosis_CDC317	775018	776037	0.392157
Contig005504_C_parapsilosis_CDC317	776058	776948	0.383838
Contig005504_C_parapsilosis_CDC317	777439	779145	0.403046
Contig005504_C_parapsilosis_CDC317	779530	781269	0.442529
Contig005504_C_parapsilosis_CDC317	781945	782361	0.465228
Contig005504_C_parapsilosis_CDC317	786443	787291	0.401649
Contig005504_C_parapsilosis_CDC317	790004	790480	0.358491
Contig005504_C_parapsilosis_CDC317	790901	793402	0.363709
Contig005504_C_parapsilosis_CDC317	793512	793757	0.398374
Contig005504_C_parapsilosis_CDC317	794288	795457	0.400855
Contig005504_C_parapsilosis_CDC317	795700	796296	0.386935
Contig005504_C_parapsilosis_CDC317	796427	796804	0.399471
Contig005504_C_parapsilosis_CDC317	797869	799248	0.416667
Contig005504_C_parapsilosis_CDC317	800642	803311	0.479775
Contig005504_C_parapsilosis_CDC317	803796	806267	0.407362
Contig005504_C_parapsilosis_CDC317	807482	810049	0.392523
Contig005504_C_parapsilosis_CDC317	815478	817913	0.403530
Contig005504_C_parapsilosis_CDC317	820366	823128	0.393775
Contig005504_C_parapsilosis_CDC317	823505	825919	0.412836
Contig005504_C_parapsilosis_CDC317	825924	830285	0.397983
Contig005504_C_parapsilosis_CDC317	831015	832568	0.400257
Contig005504_C_parapsilosis_CDC317	832641	834740	0.434286
Contig005504_C_parapsilosis_CDC317	834913	837645	0.415660
Contig005504_C_parapsilosis_CDC317	837956	840274	0.403622
Contig005504_C_parapsilosis_CDC317	842079	843809	0.393992
Contig005504_C_parapsilosis_CDC317	844009	845397	0.418287
Contig005504_C_parapsilosis_CDC317	845424	846458	0.365217
Contig005504_C_parapsilosis_CDC317	846578	849805	0.415428
Contig005504_C_parapsilosis_CDC317	850053	850380	0.347561
Contig005504_C_parapsilosis_CDC317	850544	851962	0.366455
Contig005504_C_parapsilosis_CDC317	852663	854564	0.401157
Contig005504_C_parapsilosis_CDC317	856937	858820	0.388535
Contig005504_C_parapsilosis_CDC317	862899	864209	0.397407
Contig005504_C_parapsilosis_CDC317	864268	865554	0.407925
Contig005504_C_parapsilosis_CDC317	865702	866952	0.445244
Contig005504_C_parapsilosis_CDC317	867135	867431	0.454545
Contig005504_C_parapsilosis_CDC317	867475	867714	0.400000
Contig005504_C_parapsilosis_CDC317	867837	869633	0.415136
Contig005504_C_parapsilosis_CDC317	870240	871145	0.412804
Contig005504_C_parapsilosis_CDC317	871271	873163	0.389329
Contig005504_C_parapsilosis_CDC317	873190	875118	0.392950
Contig005504_C_parapsilosis_CDC317	876999	878573	0.381587
Contig005504_C_parapsilosis_CDC317	878619	879530	0.412281
Contig005504_C_parapsilosis_CDC317	880351	881808	0.394376
Contig005504_C_parapsilosis_CDC317	883347	884627	0.380952
Contig005504_C_parapsilosis_CDC317	884652	885353	0.404558
Contig005504_C_parapsilosis_CDC317	885421	886110	0.411594
Contig005504_C_parapsilosis_CDC317	886111	886641	0.391714
Contig005504_C_parapsilosis_CDC317	887306	889006	0.417989
Contig005504_C_parapsilosis_CDC317	889092	889718	0.422648
Contig005504_C_parapsilosis_CDC317	890996	891967	0.419753
Contig005504_C_parapsilosis_CDC317	892078	896577	0.414889
Contig005569_C_parapsilosis_CDC317	2703	4874	0.405617
Contig005569_C_parapsilosis_CDC317	5135	6400	0.431280
Contig005569_C_parapsilosis_CDC317	7050	8330	0.412959
